ApplicationID,StudentID,InternshipID,Status,AppliedDate
1,30,87,Pending,2026-05-07
2,98,87,Rejected,2026-05-04
3,74,6,Accepted,2026-05-02
4,61,67,Ineligible,2026-05-04
5,36,24,Ineligible,2026-05-10
6,82,63,Pending,2026-04-30
7,61,45,Ineligible,2026-04-25
8,43,42,Pending,2026-05-14
9,21,43,Ineligible,2026-04-30
10,89,64,Rejected,2026-04-27
11,85,52,Pending,2026-04-26
12,59,12,Rejected,2026-05-09
13,33,42,Pending,2026-04-26
14,99,52,Pending,2026-05-01
15,85,70,Ineligible,2026-04-27
16,53,7,Accepted,2026-05-08
17,67,47,Ineligible,2026-04-24
18,81,57,Pending,2026-04-17
19,27,35,Accepted,2026-05-03
20,37,57,Ineligible,2026-04-25
21,16,4,Accepted,2026-04-18
22,91,21,Rejected,2026-04-17
23,71,2,Ineligible,2026-05-08
24,12,29,Pending,2026-05-12
25,60,16,Accepted,2026-04-25
26,64,92,Rejected,2026-04-22
27,66,91,Rejected,2026-05-06
28,54,62,Ineligible,2026-04-21
29,32,59,Accepted,2026-05-04
30,50,25,Accepted,2026-05-06
31,9,36,Ineligible,2026-04-18
32,44,65,Rejected,2026-04-27
33,1,37,Rejected,2026-05-16
34,76,75,Ineligible,2026-04-23
35,20,58,Ineligible,2026-04-18
36,45,43,Ineligible,2026-04-23
37,59,42,Accepted,2026-04-18
38,90,31,Ineligible,2026-05-05
39,30,100,Ineligible,2026-04-18
40,6,41,Ineligible,2026-05-04
41,91,49,Ineligible,2026-04-29
42,85,84,Accepted,2026-04-29
43,64,5,Accepted,2026-04-18
44,65,76,Rejected,2026-04-21
45,13,57,Pending,2026-04-28
46,68,59,Pending,2026-04-20
47,93,19,Ineligible,2026-04-28
48,84,20,Pending,2026-04-22
49,61,34,Rejected,2026-04-23
50,80,89,Ineligible,2026-05-13
51,84,11,Rejected,2026-05-05
52,87,69,Ineligible,2026-05-16
53,41,81,Ineligible,2026-05-10
54,70,5,Pending,2026-05-07
55,31,81,Rejected,2026-05-13
56,30,96,Pending,2026-04-21
57,56,13,Pending,2026-05-11
58,57,22,Rejected,2026-05-02
59,4,6,Rejected,2026-04-19
60,8,38,Rejected,2026-05-10
61,48,56,Accepted,2026-04-22
62,32,68,Ineligible,2026-04-21
63,73,88,Accepted,2026-05-01
64,22,23,Pending,2026-04-29
65,79,49,Accepted,2026-04-25
66,64,75,Accepted,2026-04-19
67,30,60,Rejected,2026-04-29
68,59,33,Pending,2026-04-26
69,60,37,Accepted,2026-04-30
70,10,57,Rejected,2026-05-16
71,76,39,Ineligible,2026-05-07
72,89,33,Ineligible,2026-05-09
73,39,26,Ineligible,2026-04-28
74,62,14,Accepted,2026-05-14
75,49,74,Rejected,2026-05-11
76,74,38,Rejected,2026-05-08
77,3,85,Ineligible,2026-04-24
78,36,2,Pending,2026-05-05
79,78,96,Ineligible,2026-04-28
80,37,100,Accepted,2026-04-19
81,78,46,Accepted,2026-04-25
82,82,25,Rejected,2026-04-25
83,87,97,Accepted,2026-04-21
84,81,13,Pending,2026-05-03
85,40,57,Pending,2026-05-09
86,75,47,Accepted,2026-04-29
87,12,38,Rejected,2026-04-20
88,96,54,Accepted,2026-04-21
89,26,17,Rejected,2026-05-02
90,68,65,Rejected,2026-04-27
91,22,33,Ineligible,2026-04-22
92,38,96,Rejected,2026-05-16
93,15,60,Pending,2026-04-23
94,19,97,Accepted,2026-04-19
95,87,93,Ineligible,2026-04-20
96,72,47,Pending,2026-04-25
97,51,2,Rejected,2026-05-11
98,69,16,Ineligible,2026-05-07
99,48,87,Rejected,2026-05-03
100,75,49,Rejected,2026-04-29
