CompanyID,CompanyName,Location,ContactEmail,IndustryType,Website,HRContact
1,Turner Ltd,Jacobchester,ocobb@lester.info,Engineering,http://howard.com/,Charles Phillips
2,Henderson Group,Kathleenport,jlogan@sanford-benson.org,Technology,https://www.cherry.biz/,Mrs. Kara Rogers
3,"Robertson, Meadows and Chan",Nataliebury,nortonconnie@holmes.com,Technology,https://woodard.com/,Erika Johnson
4,"Gay, Nunez and Espinoza",West Shawnstad,njarvis@arias-lopez.net,Engineering,http://harvey.org/,Eduardo Oneal
5,"Martinez, Brown and Mckinney",Port Sara,joshua68@brown.info,Healthcare,https://www.weaver.net/,Scott Thompson
6,Scott-Mason,Coopermouth,fhuerta@avila.com,Finance,https://www.aguilar.com/,Sarah Williams
7,Gibson-Fowler,North Anna,anthony40@mccoy-williams.com,Finance,http://white.com/,Arthur Carter
8,Pittman Inc,North Kathleenbury,juanwilliams@wallace.com,Finance,https://swanson.biz/,Robert Osborne
9,Cobb-Griffin,Monicatown,brittanygonzalez@vargas.org,Engineering,https://www.smith.info/,Mr. Jason Anderson III
10,Norris-Jones,Glassfurt,birdchristina@harvey-briggs.com,Technology,http://fernandez.com/,Robert Molina
11,Conley PLC,Graveshaven,hicksjose@simmons.com,Engineering,https://www.jackson.com/,Joy Harris
12,Stuart LLC,Aprilland,avincent@miller.com,Engineering,https://larsen-garcia.com/,Jessica Harmon
13,"Marshall, Wells and Brown",South Connormouth,acostastephen@gonzalez.com,Education,http://www.cox.net/,Michelle Wilson DDS
14,Carter Inc,Angelaport,jillsnow@miller.com,Technology,https://www.williams-gentry.info/,Lisa Wall
15,"Henderson, Mendoza and Thomas",South Vanessaside,ashleyunderwood@stewart.com,Education,https://campbell.info/,Christine Mckay
16,"Contreras, Bailey and Howard",Lake Brett,karilee@snow.com,Marketing,https://wilson.info/,Catherine Flores
17,Tucker-Wade,Jasonside,pecktiffany@nguyen-howell.com,Technology,http://www.terrell.com/,Joseph Ortiz
18,"Benton, Oconnor and Young",Mathewsstad,danaweber@mitchell.info,Technology,http://lewis-johnson.com/,Taylor Rodriguez
19,"Shelton, Grant and Hall",Turnerfurt,diazjohn@miller-simpson.com,Technology,http://kelly.net/,Alexandra Jimenez
